id,endTime,n_errors,times,type,data,n_test
21396,79360.0,3.0,"[1922, 2600, 3703, 4601, 5921, 13205, 17385, 18446, 19686, 21967, 26048, 28008, 30127, 38191, 42172, 47133, 53014, 64557, 66897, 67478, 69598, 76900, 78420, 79341]",B,,
21396,43452.0,2.0,"[3562, 12245, 15385, 15866, 19406, 20106, 21567, 25267, 27647, 27990, 30650, 31830, 32950, 33409, 34670, 35110, 36512, 37211, 39511, 39932, 40971, 42372, 43052, 43433]",C,,
21396,25070.0,2.0,"[5762, 6202, 7224, 7643, 9583, 10145, 13585, 13984, 14885, 15265, 16105, 16468, 16946, 17386, 18788, 19206, 20168, 20648, 21707, 22087, 23007, 23508, 24649, 25050]",D,,
21396,78183.0,5.0,"[3243, 6165, 13766, 16668, 17807, 18666, 19567, 21067, 23788, 24209, 29328, 36412, 39572, 44115, 56757, 57438, 68860, 70459, 71942, 74241, 75522, 76121, 77723, 78161]",E,,
21396,19747.0,0.0,"[861, 1881, 5183, 5762, 6242, 7141, 7783, 8484, 9164, 10024, 10683, 11163, 11902, 12425, 13025, 14184, 14704, 15784, 16304, 16945, 17806, 18204, 19046, 19726]",A,,
3f29465b-bc34-4ccf-9f53-e17a0960b810,19164.0,0.0,"[1060, 1721, 2201, 5321, 6123, 6621, 7303, 8082, 8603, 9583, 10005, 10664, 11303, 11724, 12383, 13643, 14005, 15805, 16166, 17125, 17766, 18166, 18826, 19144]",A,,
31cbda08-eafa-4fbf-9ba4-6664329d6a93,17927.0,0.0,"[1040, 1442, 2442, 3242, 3923, 4443, 4983, 5463, 6183, 6864, 8124, 8684, 9302, 9745, 10723, 12225, 12665, 14425, 14905, 15385, 16246, 16866, 17425, 17906]",A,,
a1f43281-53cd-48df-a7ad-892fcbb9f1f5,36212.0,5.0,"[5965, 6681, 7898, 10098, 10915, 12265, 13265, 16081, 16914, 18764, 19681, 20731, 21831, 22579, 24113, 25379, 26463, 28212, 29446, 30729, 32162, 33212, 34395, 36195]",A,,
a1f43281-53cd-48df-a7ad-892fcbb9f1f5,98255.0,8.0,"[4349, 12599, 15165, 20632, 25481, 32779, 38996, 42395, 53227, 56809, 59476, 60443, 62092, 67208, 69759, 70474, 75274, 76341, 82857, 93788, 95239, 96505, 97222, 98237]",B,,
a1f43281-53cd-48df-a7ad-892fcbb9f1f5,28713.0,3.0,"[2616, 3950, 5018, 5716, 7499, 8200, 9449, 9865, 12917, 14299, 14798, 15314, 16364, 17348, 20231, 20881, 21513, 21964, 24181, 24963, 26562, 27814, 28313, 28697]",D,,
4889dfc9-ed6e-4289-b35d-06740e199d33,10785.10000000149,0.0,"[1218, 1501, 2068, 2701, 2934, 3435, 3652, 4268, 4734, 4984, 5418, 5934, 6169, 6503, 6801, 7342, 7718, 8501, 8917, 9184, 9486, 9968, 10517, 10768]",A,,
4889dfc9-ed6e-4289-b35d-06740e199d33,21250.699999999255,1.0,"[1301, 1734, 2901, 3617, 4183, 5318, 5668, 6867, 7251, 7851, 8901, 11334, 13018, 14167, 14750, 15501, 16184, 17667, 18184, 18749, 19284, 19967, 20700, 21233]",B,,
